Supplementary Table 1: Detailed Information on Training Set Sequences,,,,,,,,
ID,Organism,Molecule Type,Topology,Description,Genome Type,Length,die,Acronym
MH002337.1,Tylonycteris bat coronavirus HKU4,RNA,linear,"Tylonycteris bat coronavirus HKU4 isolate CZ01, complete genome",ssRNA(+),30255,no,
MH002340.1,Pipistrellus bat coronavirus HKU5,RNA,linear,"Pipistrellus bat coronavirus HKU5 isolate BY140535, complete genome",ssRNA(+),30494,no,
MN149538.1,West Nile virus,ss-RNA,linear,"West Nile virus strain Tomsk/bird/2006/A4, complete genome",ssRNA(+),10991,no,
KC807170.1,Alphamesonivirus 1 Ngewotan,RNA,linear,"Alphamesonivirus 1 Ngewotan strain JKT9982, complete genome",ssRNA(+),20149,no,
MK334043.1,Human coronavirus NL63,RNA,linear,"Human coronavirus NL63 strain ChinaGD02, complete genome",ssRNA(+),27516,no,
MN119304.1,Porcine reproductive and respiratory syndrome virus 2,RNA,linear,"Porcine reproductive and respiratory syndrome virus 2 isolate SD1612-1, complete genome",ssRNA(+),15409,no,
MN602325.1,Bat picornavirus,RNA,linear,"Bat picornavirus strain ITA/2017/189/18-155, complete genome",ssRNA(+),8208,no,
MN864567.1,Alfalfa virus S,RNA,linear,"Alfalfa virus S isolate AVS-C, complete genome",ssRNA(+),8351,no,
MG987420.1,Middle East respiratory syndrome-related coronavirus,RNA,linear,"Middle East respiratory syndrome-related coronavirus isolate NL13892, complete genome",ssRNA(+),30484,no,
MK368727.1,Apple chlorotic leaf spot virus,RNA,linear,"Apple chlorotic leaf spot virus isolate Shanxi_14, complete genome",ssRNA(+),7507,no,
MN995807.1,Atlantic salmon calicivirus,RNA,linear,"Atlantic salmon calicivirus isolate G651, complete genome",ssRNA(+),7428,no,
MN995808.1,Cutthroat trout virus,RNA,linear,"Cutthroat trout virus isolate G637, complete genome",ssRNA(+),7127,no,
KY369905.1,Human coronavirus OC43,RNA,linear,"Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC831/2016, complete genome",ssRNA(+),30581,no,
KY369908.1,Human coronavirus 229E,RNA,linear,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC579/2016, complete genome",ssRNA(+),27193,no,
MK472693.1,Cowpea aphid-borne mosaic virus,RNA,linear,"Cowpea aphid-borne mosaic virus isolate Para, complete genome",ssRNA(+),9947,no,
MN116683.1,Malva vein clearing virus,RNA,linear,"Malva vein clearing virus strain MVCV-SX, complete genome",ssRNA(+),9659,no,
KT886454.1,Infectious bronchitis virus,RNA,linear,"Infectious bronchitis virus isolate gammaCoV/Ck/Poland/74/2009, complete genome",ssRNA(+),27418,yes,
MN243731.1,Cassava common mosaic virus,RNA,linear,"Cassava common mosaic virus isolate Hainan-DZ, complete genome",ssRNA(+),6395,no,
MN953619.1,Foot-and-mouth disease virus - type O,RNA,linear,"Foot-and-mouth disease virus - type O isolate PAK/1/2019, complete genome",ssRNA(+),8187,no,
MK689070.1,Echovirus E29,RNA,linear,"Echovirus E29 isolate BRA/PA-29, complete genome",ssRNA(+),7410,no,
MK689071.1,Enterovirus C99,RNA,linear,"Enterovirus C99 isolate BRA/TO-16, complete genome",ssRNA(+),7415,no,
MN725025.1,Chicken astrovirus,RNA,linear,"Chicken astrovirus strain CAstV/CHN/HBLP717-1/2018, complete genome",ssRNA(+),7588,no,
MH763675.1,Sweet potato feathery mottle virus,RNA,linear,"Sweet potato feathery mottle virus isolate Ke-Kakamega1, complete genome",ssRNA(+),10887,no,
LC064152.1,Astrovirus MLB1,RNA,linear,"Astrovirus MLB1 genomic RNA, complete genome, strain: NAGANO1545",ssRNA(+),6181,no,
MK396065.1,Peanut mottle virus,RNA,linear,"Peanut mottle virus isolate Para, complete genome",ssRNA(+),9680,no,
MN068022.1,Goose calicivirus,ss-RNA,linear,"Goose calicivirus isolate MA/CHN/2018, complete genome",ssRNA(+),8439,no,
MN082651.1,Sacbrood virus,RNA,linear,"Sacbrood virus isolate AmSBV-TW, complete genome",ssRNA(+),8885,no,
MN849355.1,Getah virus,RNA,linear,"Getah virus strain MM2021, complete genome",ssRNA(+),11690,no,
MT026582.1,Norovirus GII,RNA,linear,"Norovirus GII isolate Hu/US/2019/GII.4[P4]/Aiken0160, complete genome",ssRNA(+),7557,yes,
MT031988.1,Norovirus GI,RNA,linear,"Norovirus GI isolate Hu/US/2019/GI.3[P3]/CS0048, complete genome",ssRNA(+),7776,no,
LC522982.1,Apricot latent virus,RNA,linear,"Apricot latent virus VIC18 RNA, complete genome",ssRNA(+),9313,no,
LC522983.1,Apricot pseudo-chlorotic leaf spot virus,RNA,linear,"Apricot pseudo-chlorotic leaf spot virus VIC3 RNA, complete genome",ssRNA(+),7485,no,
LC522985.1,Asian prunus virus 2,RNA,linear,"Asian prunus virus 2 TAS10 RNA, complete genome",ssRNA(+),9374,no,
LC522986.1,Apricot vein clearing associated virus,RNA,linear,"Apricot vein clearing associated virus VIC3 RNA, complete genome",ssRNA(+),8340,no,
LC522988.1,Cherry green ring mottle virus,RNA,linear,"Cherry green ring mottle virus LV16 RNA, complete genome",ssRNA(+),8353,no,
LC522996.1,Cherry necrotic rusty mottle virus,RNA,linear,"Cherry necrotic rusty mottle virus LV27 RNA, complete genome",ssRNA(+),8436,no,
LC522999.1,Cherry virus A,RNA,linear,"Cherry virus A QLD11 RNA, complete genome",ssRNA(+),7364,no,
LC523019.1,Little cherry virus 1,RNA,linear,"Little cherry virus 1 QLD13 RNA, complete genome",ssRNA(+),16927,no,
LC523025.1,Little cherry virus 2,RNA,linear,"Little cherry virus 2 TAS12 RNA, complete genome",ssRNA(+),15040,no,
LC523031.1,Nectarine stem pitting associated virus,RNA,linear,"Nectarine stem pitting associated virus TAS17 RNA, complete genome",ssRNA(+),4991,no,
LC523033.1,Plum bark necrosis stem pitting-associated virus,RNA,linear,"Plum bark necrosis stem pitting-associated virus QLD2 RNA, complete genome",ssRNA(+),14220,no,
MN075149.1,Chikungunya virus,RNA,linear,"Chikungunya virus isolate CHIKV-197-Finland_ex_Thailand-2019, complete genome",ssRNA(+),11805,no,
MN315264.1,Porcine epidemic diarrhea virus,RNA,linear,"Porcine epidemic diarrhea virus strain AH-2018-HF1, complete genome",ssRNA(+),27937,no,
MN832785.1,Hepatovirus A,RNA,linear,"Hepatovirus A isolate 18IRL46925, complete genome",ssRNA(+),7322,no,
MN038405.1,Pepino mosaic virus,RNA,linear,"Pepino mosaic virus strain MZ1, complete genome",ssRNA(+),6396,no,
LC494126.1,Bovine coronavirus,RNA,linear,"Bovine coronavirus GIF-1 RNA, complete genome",ssRNA(+),30951,no,
KC285152.2,Mamastrovirus 1,RNA,linear,"Mamastrovirus 1 isolate HAstV-2/RUS/Novosibirsk/Nsc11-N2411/2011, complete genome",ssRNA(+),6773,no,
MG873157.1,Parechovirus A,RNA,linear,"Parechovirus A strain HPeV-1/RUS/Novosibirsk/NS12-N3567/2012, complete genome",ssRNA(+),7353,no,
MG772933.1,Bat SARS-like coronavirus,RNA,linear,"Bat SARS-like coronavirus isolate bat-SL-CoVZC45, complete genome",ssRNA(+),29802,no,
MK007532.1,Louping ill virus,RNA,linear,"Louping ill virus isolate SCO_31_1931, complete genome",ssRNA(+),10875,no,
MK340754.1,Telosma mosaic virus,RNA,linear,"Telosma mosaic virus isolate Fuzhou, complete genome",ssRNA(+),10050,no,
MN538208.1,Deformed wing virus,RNA,linear,"Deformed wing virus isolate DWV_A_New_Zealand, complete genome",ssRNA(+),10099,no,
MN933859.1,Murray Valley encephalitis virus,RNA,linear,"Murray Valley encephalitis virus strain VIDRL_MVE_070418, complete genome",ssRNA(+),11012,no,
LC374954.1,Plum pox virus,RNA,linear,"Plum pox virus PPV-D Ad1 genomic RNA, complete genome",ssRNA(+),9736,no,
MK163943.1,Wesselsbron virus,RNA,linear,"Wesselsbron virus isolate SA999-10, complete genome",ssRNA(+),10808,no,
LC496857.1,Cell fusing agent virus,RNA,linear,"Cell fusing agent virus 16GH83 RNA, complete genome",ssRNA(+),10679,no,
LC497421.1,Cavally virus,RNA,linear,"Cavally virus 15AC27 RNA, complete genome",ssRNA(+),20111,yes,
LC504568.1,Culex flavivirus,RNA,linear,"Culex flavivirus 16GH36 genomic RNA, complete genome",ssRNA(+),10270,no,
MN709786.1,Amaranthus leaf mottle virus,RNA,linear,"Amaranthus leaf mottle virus isolate AmLMV-HBZ84, complete genome",ssRNA(+),9618,no,
MN073058.1,Bovine torovirus,RNA,linear,"Bovine torovirus strain BToV SC-1 Sichuan/2018, complete genome",ssRNA(+),28297,no,
MN784122.1,Sapelovirus A,RNA,linear,"Sapelovirus A strain NGR_2017_NHP_SV, complete genome",ssRNA(+),8207,no,
MN784123.1,Cosavirus F,RNA,linear,"Cosavirus F strain NGR_2017_NHP_CV, complete genome",ssRNA(+),7714,no,
MK234885.1,GB virus C,RNA,linear,"GB virus C isolate EG, complete genome",ssRNA(+),9370,no,
MN401237.1,Hepatitis E virus,RNA,linear,"Hepatitis E virus isolate BOU-G3, complete genome",ssRNA(+),7232,no,
LC495296.1,Rhinovirus B,RNA,linear,"Rhinovirus B take1 genomic RNA, complete genome",ssRNA(+),7259,no,
LC495298.1,Enterovirus D68,RNA,linear,"Enterovirus D68 take3 genomic RNA, complete genome",ssRNA(+),7334,no,
MF423373.2,Yellow fever virus,RNA,linear,"Yellow fever virus strain PA193, complete genome",ssRNA(+),11007,no,
MK241415.1,Zika virus,RNA,linear,"Zika virus isolate ZIKV/Homo_sapiens/CPV/2015/CV448c, complete genome",ssRNA(+),10617,no,
LC483874.1,Foot-and-mouth disease virus - type A,RNA,linear,"Foot-and-mouth disease virus - type A SEA-97 genomic RNA, nearly complete genome",ssRNA(+),7730,no,
MK895974.1,Rabbit hemorrhagic disease virus,ss-RNA,linear,"Rabbit hemorrhagic disease virus, complete genome",ssRNA(+),7035,no,
MG207962.1,Enterovirus A71,RNA,linear,"Enterovirus A71 strain 4-23/XY/CHN/2017, complete genome",ssRNA(+),7406,no,
MK684348.1,Cole latent virus,RNA,linear,"Cole latent virus isolate T25, complete genome",ssRNA(+),8557,no,
MN565031.1,Acute bee paralysis virus,RNA,linear,"Acute bee paralysis virus isolate ABPV/144I, complete genome",ssRNA(+),9474,no,
MN565034.1,Black queen cell virus,RNA,linear,"Black queen cell virus isolate BQCV/144I, complete genome",ssRNA(+),8464,no,
MK867378.1,Feline calicivirus,RNA,linear,"Feline calicivirus isolate GX2019, complete genome",ssRNA(+),7687,no,
KU171814.1,Sugarcane mosaic virus,RNA,linear,"Sugarcane mosaic virus isolate CN:DWK1:15, complete genome",ssRNA(+),9575,no,
MN182533.2,Tomato brown rugose fruit virus,RNA,linear,"Tomato brown rugose fruit virus strain TBRFV.21930919, complete genome",ssRNA(+),6330,no,
JN819404.1,Dengue virus 2,ss-RNA,linear,"Dengue virus 2 isolate DENV-2/BR/BID-V3580/2008, complete genome",ssRNA(+),10523,no,
MG243699.1,Tick-borne encephalitis virus,RNA,linear,"Tick-borne encephalitis virus strain N5-17/chamois/Austria/2017, complete genome",ssRNA(+),10766,yes,
MK440140.2,Alstroemeria mosaic virus,RNA,linear,"Alstroemeria mosaic virus strain Als1, complete genome",ssRNA(+),9774,no,
MN584737.1,Atypical porcine pestivirus,RNA,linear,"Atypical porcine pestivirus isolate GD-CT4, complete genome",ssRNA(+),11101,no,
MK836301.1,Apple stem pitting virus,RNA,linear,"Apple stem pitting virus isolate 40/87, complete genome",ssRNA(+),9270,no,
MK962320.1,Porcine kobuvirus,RNA,linear,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/C247/2017, complete genome",ssRNA(+),8210,no,
MK962337.1,Porcine sapovirus,RNA,linear,"Porcine sapovirus strain SAV/Pig-wt/ESP/P284/2017, complete genome",ssRNA(+),7320,no,
MK962341.1,Mamastrovirus 3,RNA,linear,"Mamastrovirus 3 strain AstV3/Pig-wt/ESP/B333/2017, complete genome",ssRNA(+),6460,no,
MN650196.1,Enterovirus F,RNA,linear,"Enterovirus F isolate NGR_2018, complete genome",ssRNA(+),7378,no,
NC_040685.2,Opuntia virus 2,RNA,linear,"Opuntia virus 2 isolate Nopal_hec Mex, complete genome",ssRNA(+),6453,no,
MK503771.1,Garlic virus X,RNA,linear,"Garlic virus X isolate Yamuna Safed-3 (G-282)-Clove, complete genome",ssRNA(+),8458,no,
MK645238.1,Drosophila C virus,RNA,linear,"Drosophila C virus isolate CYG, complete genome",ssRNA(+),9062,no,
MH891766.1,Dengue virus 3,RNA,linear,"Dengue virus 3 isolate MCVR7048AB/2017, complete genome",ssRNA(+),10764,no,
MH891767.1,Dengue virus 1,RNA,linear,"Dengue virus 1 isolate MCVR0543AC/2017, complete genome",ssRNA(+),10764,no,
MH891769.1,Dengue virus 4,RNA,linear,"Dengue virus 4 isolate MCVR4454AC/2017, complete genome",ssRNA(+),10403,no,
MN166092.1,Echovirus E18,RNA,linear,"Echovirus E18 strain USA/2015/CA-RGDS-1049, complete genome",ssRNA(+),7412,no,
MN166093.1,Coxsackievirus A9,RNA,linear,"Coxsackievirus A9 strain USA/2015/CA-RGDS-1050, complete genome",ssRNA(+),7385,no,
MN228693.1,Human rhinovirus C3,RNA,linear,"Human rhinovirus C3 strain USA/2019/CA-RGDS-1060, complete genome",ssRNA(+),7034,no,
LC480818.1,Potato virus P,RNA,linear,"Potato virus P Ru genomic RNA, complete genome",ssRNA(+),8394,no,
MK756119.1,Potato virus V,RNA,linear,"Potato virus V strain AB, complete genome",ssRNA(+),9859,no,
MH397222.1,Papaya ringspot virus,RNA,linear,"Papaya ringspot virus strain BD-2, complete genome",ssRNA(+),10325,no,
MK775204.1,Bovine viral diarrhea virus 1,RNA,linear,"Bovine viral diarrhea virus 1 isolate CA2006, complete genome",ssRNA(+),15752,no,
KT316278.1,Yellow head virus,RNA,linear,"Yellow head virus isolate FDTZ4, complete genome",ssRNA(+),26662,no,
KT316279.1,Gill-associated virus,RNA,linear,"Gill-associated virus isolate FDTZ5, complete genome",ssRNA(+),26253,no,
MN124783.1,Soybean mosaic virus,RNA,linear,"Soybean mosaic virus isolate SMV/BSB1, complete genome",ssRNA(+),9510,no,
MF498886.1,Bean common mosaic virus,RNA,linear,"Bean common mosaic virus isolate Ir-GoB, complete genome",ssRNA(+),10054,no,
MK061424.1,Coxsackievirus A12,RNA,linear,"Coxsackievirus A12 isolate HEV16537821CA12, complete genome",ssRNA(+),7396,no,
LC461957.1,Japanese encephalitis virus,RNA,linear,"Japanese encephalitis virus JEV/MQ/Yamaguchi/804/2016 RNA, complete genome",ssRNA(+),10965,no,
NC_040815.1,Hepacivirus P,RNA,linear,"Hepacivirus P isolate RHV-GS2015, complete genome",ssRNA(+),8684,no,
MK795517.1,Varroa destructor virus 2,RNA,linear,"Varroa destructor virus 2 strain UK, complete genome",ssRNA(+),9180,no,
MN082715.1,Pepper veinal mottle virus,RNA,linear,"Pepper veinal mottle virus isolate HNu, complete genome",ssRNA(+),9795,no,
MK563993.1,Potato virus Y,RNA,linear,"Potato virus Y isolate May4B, complete genome",ssRNA(+),9691,no,
MN187035.1,Citrus vein enation virus,RNA,linear,"Citrus vein enation virus isolate VE701, complete genome",ssRNA(+),5983,no,
LC428355.1,Beet western yellows virus,RNA,linear,"Beet western yellows virus S14 RNA, complete genome",ssRNA(+),5700,no,
LC428358.1,Brassica yellows virus,RNA,linear,"Brassica yellows virus CC1 RNA, complete genome",ssRNA(+),5666,no,
LC506604.1,Clover yellow vein virus,RNA,linear,"Clover yellow vein virus Dendrobium genomic RNA, complete genome",ssRNA(+),9606,no,
MK012335.1,Peach mosaic virus,RNA,linear,"Peach mosaic virus, complete genome",ssRNA(+),7981,no,
MH043132.1,Echovirus E7,RNA,linear,"Echovirus E7 isolate Wallace, complete genome",ssRNA(+),7405,no,
MF409176.1,Igbo Ora virus,RNA,linear,"Igbo Ora virus isolate HB67652, complete genome",ssRNA(+),11818,no,
MF409178.1,Babanki virus,RNA,linear,"Babanki virus isolate HB741570, complete genome",ssRNA(+),11714,no,
NC_044855.1,Norovirus GIV,RNA,linear,"Norovirus GIV strain Hu/US/2016/GIV.NA1[PNA1]/WI7002, complete genome",ssRNA(+),7419,no,
MK704471.1,Aphid lethal paralysis virus,RNA,linear,"Aphid lethal paralysis virus isolate ALPV-CE, complete genome",ssRNA(+),9837,no,
MN212905.1,Human parechovirus 5,RNA,linear,"Human parechovirus 5 strain HPeV5-G001-19, complete genome",ssRNA(+),7280,no,
LC483440.1,Sapovirus GV,RNA,linear,"Sapovirus GV WB/GV/Ishikawa12/2018 genomic RNA, complete genome",ssRNA(+),7537,no,
LC483441.1,Sapovirus GVI,RNA,linear,"Sapovirus GVI WB/GVI/Toyama2/2018 genomic RNA, complete genome",ssRNA(+),7253,no,
LC504570.1,Turnip mosaic virus,RNA,linear,"Turnip mosaic virus PGYJ20 RNA, complete genome",ssRNA(+),9832,no,
MK889501.1,Tembusu virus,RNA,linear,"Tembusu virus isolate GL, complete genome",ssRNA(+),10990,no,
MN514962.1,Dromedary camel coronavirus HKU23,RNA,linear,"Dromedary camel coronavirus HKU23 isolate DcCoV-HKU23/camel/Ethiopia/CAC1019/2015, complete genome",ssRNA(+),31021,no,
MN477208.1,Western equine encephalitis virus,RNA,linear,"Western equine encephalitis virus strain Fleming, complete genome",ssRNA(+),11521,no,
AB716963.1,Pepper mild mottle virus,RNA,linear,"Pepper mild mottle virus RNA, complete genome, strain: L3-163",ssRNA(+),6356,no,
LC500835.1,Barley virus G,RNA,linear,"Barley virus G Aus17N RNA, nearly complete genome",ssRNA(+),5574,no,
LC500882.1,Bean yellow mosaic virus,RNA,linear,"Bean yellow mosaic virus Aus14BY RNA, complete genome",ssRNA(+),9864,no,
MK593171.1,Enterovirus G,RNA,linear,"Enterovirus G isolate KOR/KNU-1822/2018/G1-PLCP, complete genome",ssRNA(+),8024,no,
MK671306.1,Mamastrovirus 2,RNA,linear,"Mamastrovirus 2 isolate MAV2/17CC0308, complete genome",ssRNA(+),6796,no,
MK671314.1,Feline kobuvirus,RNA,linear,"Feline kobuvirus isolate FKV/18CC0503, complete genome",ssRNA(+),8289,no,
MK613996.1,Potato leafroll virus,RNA,linear,"Potato leafroll virus isolate Antioquia/May4, complete genome",ssRNA(+),5878,no,
LC387631.1,Hepatitis E virus type 4,RNA,linear,"Hepatitis E virus type 4 HRC-HE15 genomic RNA, complete genome",ssRNA(+),7253,no,
MK652136.1,Echovirus E24,RNA,linear,"Echovirus E24 strain VEN/2018-23086, complete genome",ssRNA(+),7362,no,
MK652137.1,Echovirus E11,RNA,linear,"Echovirus E11 strain USA/2018-23090, complete genome",ssRNA(+),7344,no,
MK652138.1,Coxsackievirus B3,RNA,linear,"Coxsackievirus B3 strain USA/2018-23091, complete genome",ssRNA(+),7331,no,
MK652140.1,Coxsackievirus A6,RNA,linear,"Coxsackievirus A6 strain VEN/2018-23120, complete genome",ssRNA(+),7332,no,
MK652142.1,Human parechovirus 1,RNA,linear,"Human parechovirus 1 strain VEN/2018-23121B, complete genome",ssRNA(+),7228,no,
MK652145.1,Human parechovirus 4,RNA,linear,"Human parechovirus 4 strain VEN/2018-23123B, complete genome",ssRNA(+),7153,no,
MN462922.1,Norovirus GIX,RNA,linear,"Norovirus GIX isolate YIYANG/HUNAN/CHINA/GII.P15-GIX.1/2018, complete genome",ssRNA(+),7542,no,
MK780807.1,Rubella virus genotype 1A,RNA,linear,"Rubella virus genotype 1A strain RVs/Oulu.FIN/22.15/[1a], complete genome",ssRNA(+),9762,no,
MK613068.1,Porcine astrovirus 4,RNA,linear,"Porcine astrovirus 4 isolate PAstV/CH/HB-SJZ/2018, complete genome",ssRNA(+),6733,no,
MN095414.1,Potato virus S,RNA,linear,"Potato virus S isolate KZ.Ushkonyr, complete genome",ssRNA(+),8469,no,
MN275118.1,Foot-and-mouth disease virus - type SAT 1,RNA,linear,"Foot-and-mouth disease virus - type SAT 1 isolate SAT1/CAR/154/2016, complete genome",ssRNA(+),8166,no,
MN480761.1,Norovirus GIII,RNA,linear,"Norovirus GIII isolate Bo/CH/HB/BD/2019, complete genome",ssRNA(+),7320,no,
MK558273.1,Potato virus X,RNA,linear,"Potato virus X isolate May4A, complete genome",ssRNA(+),7551,no,
LC469308.1,Bat coronavirus,RNA,linear,"Bat coronavirus Vs-CoV-1 genomic RNA, nearly complete genome",ssRNA(+),29930,no,
MN369030.1,Rhinovirus C,RNA,linear,"Rhinovirus C strain SC9810, complete genome",ssRNA(+),6964,no,
MN369035.1,Human rhinovirus A54,RNA,linear,"Human rhinovirus A54 strain SC9916, complete genome",ssRNA(+),6614,no,
MN369037.1,Human rhinovirus A41,RNA,linear,"Human rhinovirus A41 strain SC9861, complete genome",ssRNA(+),7144,no,
MN369038.1,Human rhinovirus C11,RNA,linear,"Human rhinovirus C11 strain SC9849, complete genome",ssRNA(+),7127,no,
MN369039.1,Human rhinovirus B86,RNA,linear,"Human rhinovirus B86 strain SC9848, complete genome",ssRNA(+),7053,no,
MN369040.1,Human rhinovirus A12,RNA,linear,"Human rhinovirus A12 strain SC9843, complete genome",ssRNA(+),6752,no,
MN369042.1,Human rhinovirus A68,RNA,linear,"Human rhinovirus A68 strain SC9799, complete genome",ssRNA(+),7020,no,
MN369044.1,Human rhinovirus B35,RNA,linear,"Human rhinovirus B35 strain SC9780, complete genome",ssRNA(+),6924,no,
MN369045.1,Human rhinovirus A53,RNA,linear,"Human rhinovirus A53 strain SC9746, complete genome",ssRNA(+),6985,no,
MK645898.1,Coxsackievirus A10,RNA,linear,"Coxsackievirus A10 isolate P148/ZS/CHN/2012, complete genome",ssRNA(+),7411,no,
MG656405.1,Basella rugose mosaic virus,RNA,linear,"Basella rugose mosaic virus isolate MJ, complete genome",ssRNA(+),9666,no,
NC_040361.1,Planarian secretory cell nidovirus,RNA,linear,"Planarian secretory cell nidovirus isolate UIUC, complete genome",ssRNA(+),41178,no,
NC_040434.1,Sclerotinia sclerotiorum mitovirus 2,RNA,linear,"Sclerotinia sclerotiorum mitovirus 2, complete genome",ssRNA(+),2445,no,
NC_040534.1,Yichang virus,ss-RNA,linear,"Yichang virus isolate HB-MLV, complete genome",ssRNA(+),20949,no,
NC_040535.1,Rodent arterivirus,RNA,linear,"Rodent arterivirus isolate RtMc-Arterivirus/Tibet2014, complete genome",ssRNA(+),15224,no,
NC_040540.1,Sarawak virus,RNA,linear,"Sarawak virus strain SWK-M26, complete genome",ssRNA(+),5329,no,
NC_040543.1,Chenopodium quinoa mitovirus 1,RNA,linear,"Chenopodium quinoa mitovirus 1 isolate Che1, complete genome",ssRNA(+),2730,no,
NC_040545.1,Grapevine virus H,RNA,linear,"Grapevine virus H isolate TT2016-3, complete genome",ssRNA(+),7446,no,
NC_040549.1,Apple-associated luteovirus,RNA,linear,"Apple-associated luteovirus isolate A68, complete genome",ssRNA(+),5890,no,
NC_040554.1,Grapevine virus G,RNA,linear,"Grapevine virus G isolate VLJ-178.GvG, complete genome",ssRNA(+),7475,no,
NC_040555.1,Lumpfish flavivirus,RNA,linear,"Lumpfish flavivirus, complete genome",ssRNA(+),11336,no,
NC_040556.1,Bee Macula-Like virus 2,RNA,linear,"Bee Macula-Like virus 2 isolate BeeMLV2_ahae2, complete genome",ssRNA(+),6373,no,
NC_040558.1,Phaseolus vulgaris endornavirus 3,RNA,linear,"Phaseolus vulgaris endornavirus 3 isolate LA, complete genome",ssRNA(+),15205,no,
NC_040559.1,Gigaspora margarita mitovirus 3,RNA,linear,"Gigaspora margarita mitovirus 3 isolate GmMV3-BEG34, complete genome",ssRNA(+),3387,no,
NC_040560.1,Gigaspora margarita mitovirus 4,RNA,linear,"Gigaspora margarita mitovirus 4 isolate GmMV4-BEG34, complete genome",ssRNA(+),3389,no,
NC_040564.1,Grapevine virus J,RNA,linear,"Grapevine virus J isolate KS, complete genome",ssRNA(+),7390,no,
NC_040565.1,Alfalfa virus F,RNA,linear,"Alfalfa virus F isolate SM-1_C50, complete genome",ssRNA(+),6818,no,
NC_040568.1,Mume virus A,RNA,linear,"Mume virus A isolate pm14, complete genome",ssRNA(+),7644,no,
NC_040570.1,Arracacha virus 1,RNA,linear,"Arracacha virus 1 isolate MS#6, complete genome",ssRNA(+),15763,no,
